MFCC_Dim,States,Mixes,Accuracy,Config
13,3,1,86.4,D13_S3_M1
13,3,2,89.39999999999999,D13_S3_M2
13,3,3,88.80000000000001,D13_S3_M3
13,4,1,88.2,D13_S4_M1
13,4,2,87.6,D13_S4_M2
13,4,3,90.40000000000002,D13_S4_M3
13,5,1,85.0,D13_S5_M1
13,5,2,91.20000000000002,D13_S5_M2
13,5,3,89.2,D13_S5_M3
26,3,1,87.20000000000002,D26_S3_M1
26,3,2,90.40000000000002,D26_S3_M2
26,3,3,89.4,D26_S3_M3
26,4,1,87.00000000000001,D26_S4_M1
26,4,2,92.19999999999999,D26_S4_M2
26,4,3,89.39999999999999,D26_S4_M3
26,5,1,87.20000000000002,D26_S5_M1
26,5,2,88.6,D26_S5_M2
26,5,3,89.39999999999999,D26_S5_M3
39,3,1,80.80000000000001,D39_S3_M1
39,3,2,92.0,D39_S3_M2
39,3,3,89.2,D39_S3_M3
39,4,1,83.39999999999999,D39_S4_M1
39,4,2,90.19999999999999,D39_S4_M2
39,4,3,90.6,D39_S4_M3
39,5,1,90.60000000000001,D39_S5_M1
39,5,2,92.0,D39_S5_M2
39,5,3,88.4,D39_S5_M3
